"target","0","1","Total","p"
"","(N=645)","(N=222)","(N=867)",""
"outcome_dementia           ","","","","0.029"
"  - 0                      ","638 (98.9%)","214 (96.4%)","852 (98.3%)",""
"  - 1                      ","7 ( 1.1%)","8 ( 3.6%)","15 ( 1.7%)",""
"outcome_dementia_time      ","41.9 ± 319.1","92.4 ± 551.9","54.9 ± 392.4","0.198"
"outcome_dementia_ad        ","","","",""
"  - 0                      ","645 (100.0%)","222 (100.0%)","867 (100.0%)",""
"outcome_dementia_ad_time   ","","","",""
"  - 0                      ","645 (100.0%)","222 (100.0%)","867 (100.0%)",""
"outcome_dementia_vd        ","","","",""
"  - 0                      ","645 (100.0%)","222 (100.0%)","867 (100.0%)",""
"outcome_dementia_vd_time   ","","","",""
"  - 0                      ","645 (100.0%)","222 (100.0%)","867 (100.0%)",""
"outcome_dementia_other     ","","","","0.029"
"  - 0                      ","638 (98.9%)","214 (96.4%)","852 (98.3%)",""
"  - 1                      ","7 ( 1.1%)","8 ( 3.6%)","15 ( 1.7%)",""
"outcome_dementia_other_time","","","","0.029"
"  - 0                      ","638 (98.9%)","214 (96.4%)","852 (98.3%)",""
"  - 1                      ","7 ( 1.1%)","8 ( 3.6%)","15 ( 1.7%)",""
"outcome_parkinson          ","","","","0.799"
"  - 0                      ","639 (99.1%)","221 (99.5%)","860 (99.2%)",""
"  - 1                      ","6 ( 0.9%)","1 ( 0.5%)","7 ( 0.8%)",""
"outcome_parkinson_time     ","21.9 ± 236.6","18.0 ± 268.3","20.9 ± 244.9","0.846"
"person_age                 ","63.1 ±  5.4","63.9 ±  4.4","63.3 ±  5.2","0.035"
"age_group                  ","","","","0.068"
"  - 1                      ","18 ( 2.8%)","2 ( 0.9%)","20 ( 2.3%)",""
"  - 2                      ","129 (20.0%)","34 (15.3%)","163 (18.8%)",""
"  - 3                      ","498 (77.2%)","186 (83.8%)","684 (78.9%)",""
"cci                        "," 2.3 ±  0.8"," 2.5 ±  1.3"," 2.4 ±  1.0","0.069"
"cci_group                  ","","","","0.029"
"  - 0                      ","3 ( 0.5%)"," 0 ( 0.0%)","3 ( 0.3%)",""
"  - 1                      ","600 (93.0%)","201 (90.5%)","801 (92.4%)",""
"  - 2                      ","35 ( 5.4%)","12 ( 5.4%)","47 ( 5.4%)",""
"  - 3                      ","7 ( 1.1%)","9 ( 4.1%)","16 ( 1.8%)",""
"hypertension               ","","","","0.243"
"  - 0                      ","547 (84.8%)","196 (88.3%)","743 (85.7%)",""
"  - 1                      ","98 (15.2%)","26 (11.7%)","124 (14.3%)",""
"diabetes                   ","","","","0.478"
"  - 0                      ","601 (93.2%)","203 (91.4%)","804 (92.7%)",""
"  - 1                      ","44 ( 6.8%)","19 ( 8.6%)","63 ( 7.3%)",""
"dyslipidemia               ","","","","0.516"
"  - 0                      ","575 (89.1%)","202 (91.0%)","777 (89.6%)",""
"  - 1                      ","70 (10.9%)","20 ( 9.0%)","90 (10.4%)",""
"cardiovascular_disease     ","","","","0.881"
"  - 0                      ","568 (88.1%)","197 (88.7%)","765 (88.2%)",""
"  - 1                      ","77 (11.9%)","25 (11.3%)","102 (11.8%)",""
"peripheral_vascular_disease","","","","0.965"
"  - 0                      ","637 (98.8%)","220 (99.1%)","857 (98.8%)",""
"  - 1                      ","8 ( 1.2%)","2 ( 0.9%)","10 ( 1.2%)",""
"copd                       ","","","","0.070"
"  - 0                      ","622 (96.4%)","220 (99.1%)","842 (97.1%)",""
"  - 1                      ","23 ( 3.6%)","2 ( 0.9%)","25 ( 2.9%)",""
"asthma                     ","","","","0.295"
"  - 0                      ","634 (98.3%)","221 (99.5%)","855 (98.6%)",""
"  - 1                      ","11 ( 1.7%)","1 ( 0.5%)","12 ( 1.4%)",""
"liver_disease              ","","","","0.206"
"  - 0                      ","631 (97.8%)","213 (95.9%)","844 (97.3%)",""
"  - 1                      ","14 ( 2.2%)","9 ( 4.1%)","23 ( 2.7%)",""
"statin                     ","","","","0.572"
"  - 0                      ","561 (87.0%)","197 (88.7%)","758 (87.4%)",""
"  - 1                      ","84 (13.0%)","25 (11.3%)","109 (12.6%)",""
"antiplatelet               ","","","","0.976"
"  - 0                      ","569 (88.2%)","195 (87.8%)","764 (88.1%)",""
"  - 1                      ","76 (11.8%)","27 (12.2%)","103 (11.9%)",""
"anticoagulant              ","","","","0.494"
"  - 0                      ","639 (99.1%)","218 (98.2%)","857 (98.8%)",""
"  - 1                      ","6 ( 0.9%)","4 ( 1.8%)","10 ( 1.2%)",""
"anticholinergic            ","","","","0.000"
"  - 0                      ","387 (60.0%)","200 (90.1%)","587 (67.7%)",""
"  - 1                      ","258 (40.0%)","22 ( 9.9%)","280 (32.3%)",""
"antidepressant             ","","","","0.000"
"  - 0                      ","411 (63.7%)","190 (85.6%)","601 (69.3%)",""
"  - 1                      ","234 (36.3%)","32 (14.4%)","266 (30.7%)",""
"antipsychotics             ","","","","1.000"
"  - 0                      ","640 (99.2%)","220 (99.1%)","860 (99.2%)",""
"  - 1                      ","5 ( 0.8%)","2 ( 0.9%)","7 ( 0.8%)",""
"urin_anticholinergic       ","","","","0.000"
"  - 0                      ","515 (79.8%)","97 (43.7%)","612 (70.6%)",""
"  - 1                      ","130 (20.2%)","125 (56.3%)","255 (29.4%)",""
"urin_antidepressant        ","","","","0.000"
"  - 0                      ","498 (77.2%)","142 (64.0%)","640 (73.8%)",""
"  - 1                      ","147 (22.8%)","80 (36.0%)","227 (26.2%)",""
"metastatic_cancer          ","","","","0.002"
"  - 0                      ","640 (99.2%)","213 (95.9%)","853 (98.4%)",""
"  - 1                      ","5 ( 0.8%)","9 ( 4.1%)","14 ( 1.6%)",""
